Publication Type;Authors;Author Full Names;Article Title;Source Title;Language;Document Type;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;ISSN;eISSN;ISBN;Publication Date;Publication Year;Volume;Issue;Start Page;End Page;Article Number;DOI;DOI Link;Number of Pages;WoS Categories;UT (Unique WOS ID);Web of Science Record
J;BURGESS, TF;BURGESS, TF;MAKING THE LEAP TO AGILITY - DEFINING AND ACHIEVING AGILE MANUFACTURING THROUGH BUSINESS PROCESS REDESIGN AND BUSINESS NETWORK REDESIGN;INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT;English;Article;"DESIGN; ENGINEERING; MANUFACTURING";FLEXIBILITY;Deals with agile manufacturing, a new paradigm originating in the US. The paradigm is related to existing precepts by the main organizing framework of stage models. Argues that agile manufacturing is, coincident with the post-industrial paradigm, the proposed replacement for today's increasingly outmoded industrial paradigm of mass production. Further connections are made with stage models that describe the organizational transformation potential arising from the enabling capabilities of information technology. Consequently, business process redesign and business network redesign are highlighted as the main transformational mechanisms enabling the transition to the new paradigm. Currently dominant approaches to change generation and management, such as continuous improvement or total quality management, are described as inadequate to foster the desired radical transformation. Addresses some brief closing comments to the practical problems and theoretical concerns thrown up by the analysis.;;BURGESS, TF (corresponding author), UNIV LEEDS,SCH BUSINESS & ECON STUDIES,LEEDS LS2 9JT,W YORKSHIRE,ENGLAND.;;Burgess, Thomas F/M-7144-2013;Burgess, Thomas F/0000-0003-2682-5812;41;72;74;0;32;0144-3577;;;;1994;14;11;23;34;;10.1108/01443579410068620;http://dx.doi.org/10.1108/01443579410068620;12;Management;WOS:A1994PX52100003;View Full Record in Web of Science
C;"Figl, K; Weber, B";"Figl, Kathrin; Weber, Barbara";Individual Creativity in Designing Business Processes;ADVANCED INFORMATION SYSTEMS ENGINEERING WORKSHOPS, CAISE 2012;English;Proceedings Paper;"creativity; business process redesign; process modeling";INNOVATORS;Designing business processes in a creative way is an important requirement for implementing process-aware information systems. In this article we investigate how process modeling competence and individual creativity style and capacity influence creativity in a business process redesign task. We explore these relationships with a laboratory experiment with 48 business students. Our preliminary results showed that process modeling competence is positively associated with the creative quality of a business process redesign, while individual creativity style and capacity measured by well-known creativity inventories seem to be less relevant. The findings underline the importance of training in process modeling to enable employees to realize their full creative potential when redesigning process models in process improvement projects.;"[Figl, Kathrin] Vienna Univ Econ & Business WU Vienna, Augasse 2-6, A-1090 Vienna, Austria; [Weber, Barbara] Univ Innsbruck, A-6020 Innsbruck, Austria";Figl, K (corresponding author), Vienna Univ Econ & Business WU Vienna, Augasse 2-6, A-1090 Vienna, Austria.;kathrin.figl@wu.ac.at;;"Figl, Kathrin/0000-0002-0777-2295; Weber, Barbara/0000-0002-6004-4860";28;2;2;0;2;1865-1348;;"978-3-642-31069-0; 978-3-642-31068-3";;2012;112;;294;306;;;;13;"Computer Science, Information Systems; Computer Science, Software Engineering";WOS:000342902300025;View Full Record in Web of Science
J;"Mansar, SL; Reijers, HA; Ounnar, F";"Mansar, Selma Limam; Reijers, Hajo A.; Ounnar, Fouzia";Development of a decision-making strategy to improve the efficiency of BPR;EXPERT SYSTEMS WITH APPLICATIONS;English;Article;"Business process redesign; AHP; Multi-criteria; Decision-making; Best practices";"BUSINESS PROCESS REDESIGN; INFORMATION-TECHNOLOGY";To support the efficient appraisal of and selection from a list of generic business process improvement principles, this paper proposes a strategy for the implementation of business process redesign (BPR). Its backbone is formed by the analytic hierarchy process (AHP) multicriteria method and our earlier research into the popularity and impact of a set of redesign best practices. Using AHP, we derive a classification of most suitable directions for a particular process to be redesigned. Criteria such as the popularity, the impact, the goals and the risks of BPR implementation are taken into account. A case study is included to demonstrate the method's feasibility and effectiveness. (C) 2008 Elsevier Ltd. All rights reserved.;"[Reijers, Hajo A.] Eindhoven Univ Technol, Dept Technol Management, NL-5600 MB Eindhoven, Netherlands; [Mansar, Selma Limam] Carnegie Mellon Univ, Informat Syst Program, Doha, Qatar; [Ounnar, Fouzia] Univ Paul Cezanne, Lab Sci Informat & Syst, CNRS, UMR 6168, F-13397 Marseille 20, France";Reijers, HA (corresponding author), Eindhoven Univ Technol, Dept Technol Management, POB 513, NL-5600 MB Eindhoven, Netherlands.;"selmal@qatar.cmu.edu; h.a.reijers@tue.nl; fouzia.ounnar@lsis.org";;Ounnar, Fouzia/0000-0002-2304-4095;45;36;37;0;21;0957-4174;1873-6793;;MAR;2009;36;2;3248;3262;;10.1016/j.eswa.2008.01.008;http://dx.doi.org/10.1016/j.eswa.2008.01.008;15;"Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Operations Research & Management Science";WOS:000262178100068;View Full Record in Web of Science
J;"OSTERLE, H; SAXER, R; HUTTENHAIN, T";"OSTERLE, H; SAXER, R; HUTTENHAIN, T";BUSINESS PROCESS REDESIGN BASED ON MONITORING DATA;WIRTSCHAFTSINFORMATIK;German;Article;"MONITORING; R/2 SAP; ORGANIZATION ANALYSIS; BUSINESS PROCESS; ORGANIZATIONAL STRUCTURE; WORK FLOW; COMPUTER AIDED ADMINISTRATIVE SYSTEM";;Today's information systems usually map the current organizational structure of the business in a mechanical fashion. IT cements the existing tayloristic procedures without redesigning the organizational foundation. Possible productivity gains are not exploited. The following article gives a detailed description on how to gain valuable information about the, existing organization. The method described is based on information gained from monitors controlling the productive information systems. Apart from the theoretical background, each step is examplified using R/2 by SAP. The analysis shows in detail how R/2 was organizationally implemented in the enterprise. This analysis is the prerequisite for increasing the value of the IT usage. Improvements are achieved by making changes to the organizational structure and particularly to the work flow.;;OSTERLE, H (corresponding author), HSCH ST GALLEN WIRTSCHAFTS & SOZIALWISSENSCH,INST WIRTSCHAFTSINFORMAT,DUFOURSTR 50,CH-9000 ST GALLEN,SWITZERLAND.;;;;31;1;1;0;0;0937-6429;;;OCT;1994;36;5;465;477;;;;13;Computer Science, Information Systems;WOS:A1994PQ48300006;View Full Record in Web of Science
C;"DIERS, FV; GARRETT, DP";"DIERS, FV; GARRETT, DP";BUSINESS PROCESS REDESIGN - THE NEXT RM DISCIPLINE;PROCEEDINGS OF THE ARMA INTERNATIONAL 37TH ANNUAL CONFERENCE;English;Proceedings Paper;;;;;;;;;0;0;0;0;0;;;0-933887-43-4;;1992;;;491;496;;;;6;Information Science & Library Science;WOS:A1992BZ08Q00040;View Full Record in Web of Science
J;Song, HD;Song, HD;Techniques for business process redesign - Kubeck,LC;INTERFACES;English;Book Review;;;;;Song, HD (corresponding author), UNIV SO QUEENSLAND,DEPT INFORMAT SYST,TOOWOOMBA,QLD 4350,AUSTRALIA.;;;;1;0;0;0;0;0092-2102;;;JUL-AUG;1997;27;4;82;83;;;;2;"Management; Operations Research & Management Science";WOS:A1997XR83400009;View Full Record in Web of Science
C;"Jansen-Vullers, MH; Kleingeld, PAM; Loosschilder, MWNC; Netjes, M; Reijers, HA";"Jansen-Vullers, M. H.; Kleingeld, P. A. M.; Loosschilder, M. W. N. C.; Netjes, M.; Reijers, H. A.";Trade-offs in the performance of workflows - Quantifying the impact of best practices;BUSINESS PROCESS MANAGEMENT WORKSHOPS;English;Proceedings Paper;"business process redesign; business process simulation; best practices; performance measurement";DESIGN;Business process redesign is one of the most powerful ways to boost business performance and to improve customer satisfaction [14]. A possible approach to business process redesign is using redesign best practices. A previous study identified a set of 29 different redesign best practices [18]. However, little is known about the exact impact of these redesign best practices on workflow performance. This study proposes an approach that can be used to quantify the impact of a business process redesign project on all dimensions of workflow performance. The approach consists of a large set of performance measures and a simulation toolkit. It supports the quantification of the impact of the implementation of redesign best practices, in order to determine what best practice or combination of best practices leads to the most favorable effect in a specific business process. The approach is developed based on a quantification project for the parallel best practice [8] and is validated with two other quantification projects, namely for the knockout and triage best practices.;"[Jansen-Vullers, M. H.; Kleingeld, P. A. M.; Loosschilder, M. W. N. C.; Netjes, M.; Reijers, H. A.] Eindhoven Univ Technol, Dept Technol Management, NL-5600 MB Eindhoven, Netherlands";;"m.h.jansen-vullers@tue.nl; p.a.m.kleingeld@tue.nl; m.netjes@tue.nl; h.a.reijers@tue.nl";;;20;7;7;0;3;0302-9743;1611-3349;978-3-540-78237-7;;2008;4928;;108;119;;;;12;"Business; Computer Science, Information Systems; Computer Science, Theory & Methods; Management";WOS:000253889100012;View Full Record in Web of Science
J;"Jansen-Vullers, MH; Kleingeld, PAM; Netjes, M";"Jansen-Vullers, M. H.; Kleingeld, P. A. M.; Netjes, M.";Quantifying the Performance of Workflows;INFORMATION SYSTEMS MANAGEMENT;English;Article;"business process redesign; business process simulation; best practices; performance measurement";DESIGN;Business process redesign is one of the most powerful ways to boost business performance and to improve customer satisfaction (Limam Mansar Reijers, 2005). A possible approach to business process redesign is using redesign best practices. A previous study identified a set of 29 different redesign best practices (Reijers, 2003). However, little is known about the exact impact of these redesign best practices on workflow performance. This study proposes an approach that can be used to quantify the impact of a business process redesign project on all dimensions of workflow performance. The approach consists of a large set of performance measures and a simulation toolkit. It supports the quantification of the impact of the implementation of redesign best practices, in order to determine what best practice or combination of best practices leads to the most favorable effect in a specific business process. The approach is developed based on a quantification project for the parallel best practice and is validated with two other quantification projects, namely for the knockout and triage best practices.;"[Jansen-Vullers, M. H.; Kleingeld, P. A. M.; Netjes, M.] Eindhoven Univ Technol, Dept Technol Management, NL-5600 MB Eindhoven, Netherlands";Jansen-Vullers, MH (corresponding author), Eindhoven Univ Technol, Dept Technol Management, POB 513,PAV-D13, NL-5600 MB Eindhoven, Netherlands.;m.h.jansen-vullers@tue.nl;;;25;11;11;0;3;1058-0530;1934-8703;;;2008;25;4;332;343;;10.1080/10580530802384589;http://dx.doi.org/10.1080/10580530802384589;12;Computer Science, Information Systems;WOS:000260459000005;View Full Record in Web of Science
J;"Moreno, V; dos Santos, LHA";"Moreno, Valter; Andrade dos Santos, Lucia Helena";Knowledge Management and Business Process Redesign: An Integrated Framework;PERSPECTIVAS EM CIENCIA DA INFORMACAO;Portuguese;Article;"Knowledge Management; Business Processes; Business Process Management, BPM";"ORGANIZATION; SYSTEMS";In the last decade, several Knowledge Management (KM) frameworks have been developed and applied to improve creation, storage, transfer and reuse of knowledge. However, a number of projects have failed to generate the expected benefits due to a gap between KM activities and those that constitute the routines of an organization, as defined in its business processes. This paper draws on the idea that the association of KM practices and organizational routines is essential to companies' success nowadays to put forth an integrated process redesign and knowledge management methodology. With this goal, some of the foremost KM frameworks were analyzed to identify the tasks that are essential to the effective management of organizational knowledge. Then, the compatibility between such tasks and the procedures defined by major process redesign methodologies were evaluated. This analysis supported the elaboration of a revised methodology that integrates the principles and techniques of both types of initiatives. The adoption of the proposed methodology should elicit the creation of business processes that harmonize an efficient, low cost operation and the systematization of an organization's knowledge creation, storage, transfer and reuse activities.;[Moreno, Valter] Univ Michigan, Ann Arbor, MI 48109 USA;Moreno, V (corresponding author), Univ Michigan, Ann Arbor, MI 48109 USA.;;Moreno, Valter/M-4278-2013;Moreno, Valter/0000-0002-1782-2401;37;3;4;3;37;1413-9936;;;JAN-MAR;2012;17;1;203;230;;10.1590/S1413-99362012000100012;http://dx.doi.org/10.1590/S1413-99362012000100012;28;Information Science & Library Science;WOS:000303202100012;View Full Record in Web of Science
C;"MIHANOVIC, DA; BOZIK, JE";"MIHANOVIC, DA; BOZIK, JE";RETAIL DRIVEN DECISION-SUPPORT - BUSINESS PROCESS REDESIGN AT HALLMARK;TRANSACTIONS : DSS-92 INFORMATION SUPPORT FOR EXECUTIVES, MANAGERS, AND PROFESSIONALS;English;Proceedings Paper;;;;;;;;;0;0;0;0;0;;;;;1992;;;37;39;;;;3;"Information Science & Library Science; Management";WOS:A1992BY37N00006;View Full Record in Web of Science
J;HOSSEINI, J;HOSSEINI, J;REVISITING AND EXPANDING TAYLORISM BUSINESS PROCESS REDESIGN AND INFORMATION TECHNOLOGY;COMPUTERS & INDUSTRIAL ENGINEERING;English;Article;;;This paper discusses the process of re-engineering and redesign and its applicability to a particular manufacturing organization. I argue that this new phenomenon is an extension of taylorism, and is a competitive tool to use to survive in today's global market.;;HOSSEINI, J (corresponding author), UNIV NEW HAMPSHIRE,WHITTEMORE SCH BUSINESS & ECON,DURHAM,NH 03824, USA.;;;;2;4;4;0;3;0360-8352;;;SEP;1993;25;01. Apr;533;535;;10.1016/0360-8352(93)90337-W;http://dx.doi.org/10.1016/0360-8352(93)90337-W;3;"Computer Science, Interdisciplinary Applications; Engineering, Industrial";WOS:A1993LZ69500132;View Full Record in Web of Science
C;"Kang, BS; Fun, JW; Park, SC";"Kang, BS; Fun, JW; Park, SC";A methodology for physical business process redesign on TQM viewpoints;PIONEERING NEW TECHNOLOGIES: MANAGEMENT ISSUES AND CHALLENGES IN THE THIRD MILLENNIUM, PROCEEDINGS;English;Proceedings Paper;;;;Korea Adv Inst Sci & Technol, Dept Ind Engn, Yu Song Gu, Taejon 305701, South Korea;Kang, BS (corresponding author), Korea Adv Inst Sci & Technol, Dept Ind Engn, Yu Song Gu, 373-1 Ku Song Dong, Taejon 305701, South Korea.;;;;0;0;0;0;1;;;0-7803-5083-9;;1998;;;173;178;;;;6;Engineering, Electrical & Electronic;WOS:000076614200029;View Full Record in Web of Science
S;CECEZKECMANOVIC, D;CECEZKECMANOVIC, D;BUSINESS PROCESS REDESIGN AS THE RECONSTRUCTION OF A COMMUNICATIVE SPACE;BUSINESS PROCESS RE-ENGINEERING: INFORMATION SYSTEMS OPPORTUNITIES AND CHALLENGES;English;"Article; Proceedings Paper";"INFORMATION SYSTEMS, MODELS AND PRINCIPLES, GENERAL; INFORMATION SYSTEMS APPLICATIONS, TYPES OF SYSTEMS; ORGANIZATIONAL IMPACTS";;The paper develops a framework for understanding the domain and the degree of change in business processes attainable through Information, Computer and Communication Technologies. Four generic classes of business processes are defined, characterized by specific communicative space. The specific needs of actors in each business process class and possible roles of technologies in meeting these needs by transforming its communicative space are identified.;;CECEZKECMANOVIC, D (corresponding author), GRIFFITH UNIV,FAC COMMERCE & ADM,SCH IS&MS,NATHAN CAMPUS,BRISBANE,QLD 4111,AUSTRALIA.;;;Cecez-Kecmanovic, Dubravka/0000-0001-8028-3896;24;1;1;0;0;0926-5473;;0-444-82062-0;;1994;54;;181;190;;;;10;"Computer Science, Information Systems; Computer Science, Theory & Methods; Engineering, Industrial";WOS:A1994BB68G00021;View Full Record in Web of Science
J;"Baba, ML; Falkenburg, DR; Hill, DH";"Baba, ML; Falkenburg, DR; Hill, DH";Technology management and American culture: Implications for business process redesign;RESEARCH-TECHNOLOGY MANAGEMENT;English;Article;;;Culture creates barriers to business process reengineering. Three distinctive levels of culture must be recognized in process redesign-national, corporate and work group culture. American national culture has the most profound influence. Individualism and autonomy are key features of American culture that work against the logic of process integration and commonization by rewarding individuals for pursuing their own self-interests. This tendency also generates a lack of trust, which in turn creates barriers to sharing electronic data. Reengineering difficulties are exacerbated by an American fascination with technological solutions, and a view of new technology as a ''silver bullet'' that yields benefits automatically. Often, process redesign cannot be implemented without culture change. Culture can be influenced by exposing internal groups to external pressures, ensuring employee participation in reengineering, recognizing that training alone does not achieve culture change, redefining group boundaries, managing anti-champions, building trust, and leveraging the strengths of national and corporate culture.;WAYNE STATE UNIV,DEPT IND & MFG ENGN,DETROIT,MI 48202;Baba, ML (corresponding author), WAYNE STATE UNIV,DEPT ANTHROPOL,DETROIT,MI 48202, USA.;;;;19;23;23;0;14;0895-6308;;;NOV-DEC;1996;39;6;44;54;;10.1080/08956308.1996.11674321;http://dx.doi.org/10.1080/08956308.1996.11674321;11;"Business; Engineering, Industrial; Management";WOS:A1996VP40200017;View Full Record in Web of Science
C;Roth, GL;Roth, GL;Paper documents: Implications of changing media for business process redesign;INFORMATION AND PROCESS INTEGRATION IN ENTERPRISES: RETHINKING DOCUMENTS;English;Proceedings Paper;;;;MIT, Ctr Org Learning, Cambridge, MA 02139 USA;;;;;0;0;0;0;0;;;0-7923-8059-2;;1998;428;;371;404;;;;34;"Business; Management";WOS:000075512300023;View Full Record in Web of Science
J;"DAVENPORT, TH; SHORT, JE";"DAVENPORT, TH; SHORT, JE";THE NEW INDUSTRIAL-ENGINEERING - INFORMATION TECHNOLOGY AND BUSINESS PROCESS REDESIGN;SLOAN MANAGEMENT REVIEW;English;Article;;;;"BOSTON UNIV,SCH MANAGEMENT,BOSTON,MA 02215; MIT,ALFRED P SLOAN SCH MANAGEMENT,CTR INFORMAT SYST RES,CAMBRIDGE,MA 02139";DAVENPORT, TH (corresponding author), ERNST & YOUNG,CTR INFORMAT TECHNOL & STRATEGY,BOSTON,MA, USA.;;;;34;1037;1079;4;211;0019-848X;;;SUM;1990;31;4;11;27;;;;17;"Business; Management";WOS:A1990DT52300005;View Full Record in Web of Science
J;"Seidmann, A; Sundararajan, A";"Seidmann, A; Sundararajan, A";The effects of task and information asymmetry on business process redesign;INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS;English;Article;"reengineering; queuing; organizational design; incentives; information systems design";MORAL HAZARD;The effective design of business processes is a subject of considerable importance to corporations today. Our research develops a theoretical framework for process design that is aimed at providing practical guidelines for process managers. The abundance of context-specific case studies which exist today share many success stories but provide little in terms of a general methodological approach. In this paper, we describe our general framework for the analysis and design of business processes. We outline a typical business process and critically evaluate typical pre- and post-reengineering process design issues. Explicit aspects of our analysis address workflow design, task bundling, technological enablers, and performance-based incentives. We examine the effects of task size asymmetry and performance information asymmetry on the optimal process design. Our results indicate that, with increased asymmetry, certain types of process designs become more desirable. Furthermore, we look at the interaction between job asymmetry and other process design factors such as knowledge intensity and level of job customization. Finally, we show when asymmetry can cause process reengineering efforts to complement the classic performance-based incentive compensation model. Practical implications of our results are illustrated for a variety of process design cases.;;Seidmann, A (corresponding author), UNIV ROCHESTER,WILLIAM E SIMON GRAD SCH BUSINESS ADM,ROCHESTER,NY 14627, USA.;;;;27;47;51;0;5;0925-5273;;;Jun 16;1997;50;02. Mrz;117;128;;10.1016/S0925-5273(97)00037-6;http://dx.doi.org/10.1016/S0925-5273(97)00037-6;12;"Engineering, Industrial; Engineering, Manufacturing; Operations Research & Management Science";WOS:A1997XK56500006;View Full Record in Web of Science
C;WEAVER, C;WEAVER, C;Business process redesign and computer-based patient records: An integrated approach;TOWARD AN ELECTRONIC PATIENT RECORD '95, PROCEEDINGS, VOL 1;English;Proceedings Paper;;;;FIRST CONSULTING GRP,BETHESDA,MD 20817;;;;;0;0;0;0;0;;;0-9640667-5-0;;1995;;;288;292;;;;5;"Computer Science, Information Systems; Health Policy & Services";WOS:A1995BD54M00056;View Full Record in Web of Science
C;"Kettler, N; Soffer, P; Hadar, I";"Kettler, Neta; Soffer, Pnina; Hadar, Irit";Towards a Knowledge Base of Business Process Redesign: Forming the Structure;ENTERPRISE, BUSINESS-PROCESS AND INFORMATION SYSTEMS MODELING;English;Proceedings Paper;"Business processes; Business processes redesign; Knowledge base";"PROCESS IMPROVEMENT; PROCESS MANAGEMENT; PROCESS DESIGN; SUPPLY-CHAIN; PERFORMANCE; OPTIMIZATION; SIMULATION; CONTEXT; IMPACT; WORK";"Many reasons drive organizations to improve their existing business processes. Designing an improvement is complex; it requires familiarity with the process under consideration and vast knowledge and expertise in the field of business processes. Therefore, there is no substitute for an expert judgment while designing a process improvement. Yet, experts' knowledge is limited by their experience. In this paper, we present our vision of supporting more informed expert decisions. This vision is based on designing a knowledge-based solution in order to facilitate sharing experience from past cases gained by various organizations. More specifically, this paper focuses on the first step that is required for constructing a knowledge base: designing its structure. To formulate a representative structure, we studied cases reported in literature and formulated a baseline structure grounded in the reviewed literature. We examined its coverage for additional cases originating in literature and added additional features where needed, until we reached saturation. The proposed structure distinguishes between the features that characterize a situation that leads to a redesign act and the set of improvement actions performed as a result.";"[Kettler, Neta; Soffer, Pnina; Hadar, Irit] Univ Haifa, 199 Aba Khoushy Ave, Haifa, Israel";"Kettler, N; Soffer, P; Hadar, I (corresponding author), Univ Haifa, 199 Aba Khoushy Ave, Haifa, Israel.";"Neta.kettler@gmail.com; spnina@is.haifa.ac.il; hadari@is.haifa.ac.il";;;50;1;1;2;4;1865-1348;;"978-3-030-20618-5; 978-3-030-20617-8";;2019;352;;3;18;;10.1007/978-3-030-20618-5_1;http://dx.doi.org/10.1007/978-3-030-20618-5_1;16;"Computer Science, Information Systems; Computer Science, Theory & Methods";WOS:000492375600001;View Full Record in Web of Science
J;"Kock, N; Verville, J; Danesh-Pajou, A; DeLuca, D";"Kock, Ned; Verville, Jacques; Danesh-Pajou, Azim; DeLuca, Dorrie";Communication flow orientation in business process modeling and its effect on redesign success: Results from a field study;DECISION SUPPORT SYSTEMS;English;Article;"Business process modeling; Communication flow optimization; Business process redesign; Factor analysis; Structural equation modeling; Partial least squares; Data triangulation";"REQUIREMENTS; QUALITY";"Business process redesign has been intensely studied, particularly since the mid 1990s. One aspect that received little attention, however, is the relationship between business process modeling choices and redesign success. This research gap is addressed through a multi-methods study of 18 business process redesign projects conducted in 18 different organizations. A structural equation model is developed and tested based on data collected from those projects; the results are then triangulated with qualitative data. The structural equation model depicts relationships between the following broad perceptual constructs: communication flow orientation of a business process model, quality of a business process model, and business process redesign success. The communication flow orientation of a business process model is defined as the extent to which a model explicitly shows how communication interactions take place in a process. A model's perceived quality is defined as the degree to which the model presents the following perceptual sub-constructs: ease of generation, ease of understanding, completeness, and accuracy. The results of the study suggest that the degree of communication flow orientation of a business process model is significantly related to the model's perceived quality. Perceived model quality, in turn, is significantly related to perceived business process redesign success. interestingly. a business process model's perceived completeness does not seem to be influenced by a model's communication flow orientation. The structural equation model accounted for 56% of the explained variance in the business process redesign success construct. The main implication of this study is that a focus on communication flows in business processes is an important ingredient in successful business process redesign projects. (C) 2008 Elsevier B.V. All rights reserved.";"[Kock, Ned] Texas A&M Int Univ, AR Sanchez Jr Sch Business, Laredo, TX 78041 USA; [Verville, Jacques] Univ British Columbia Okanagan, Fac Management, Kelowna, BC V1V 1V7, Canada; [Danesh-Pajou, Azim] Shippensburg Univ, John L Grove Coll Business, Shippensburg, PA 17257 USA; [DeLuca, Dorrie] Univ S Florida, Coll Business, Sarasota, FL 34243 USA";Kock, N (corresponding author), Texas A&M Int Univ, AR Sanchez Jr Sch Business, 5201 Univ Blvd, Laredo, TX 78041 USA.;"nedkock@tamiu.edu; jacques.verville@ubc.ca; danesh@ship.edu; ddeluca@sar.usf.edu";;;61;60;62;1;29;0167-9236;1873-5797;;JAN;2009;46;2;562;575;;10.1016/j.dss.2008.10.002;http://dx.doi.org/10.1016/j.dss.2008.10.002;14;"Computer Science, Artificial Intelligence; Computer Science, Information Systems; Operations Research & Management Science";WOS:000262760000011;View Full Record in Web of Science
C;"Laar, DS; Seymour, L";"Laar, David Sanka; Seymour, Lisa";Redesigning Business Processes for Small and Medium Enterprises in Developing Countries;PROCEEDINGS OF THE 5TH INTERNATIONAL CONFERENCE ON MANAGEMENT, LEADERSHIP AND GOVERNANCE (ICMLG 2017);English;Proceedings Paper;"business process redesign; business process management; SMEs; developing countries; work system method; design science";"CRITICAL SUCCESS FACTORS; INFORMATION-SYSTEMS; PROCESS MANAGEMENT; ORGANIZATIONAL-CHANGE; TECHNOLOGY; MODEL; ADOPTION";Business process redesign is used to improve organizational performance and enhance customer satisfaction. Many methodologies have been developed to support this undertaking. However, most of the methodologies are designed to fit large and established organizations especially those in developed countries. They appear mechanistic, top down and insensitive to different contexts and are therefore not suitable for the realities of Small and medium enterprises (SMEs) in developing countries (DCs). Meanwhile, SMEs in DCs face competition and other challenges which require them to innovate in order to survive or grow in the volatile economic and business climate. Hence, they need an alternative BP redesign methodology to support process oriented management. In response, this paper follows a design science approach and exploits Alter's work system method to design a practical and procedural methodology that can be followed in business process redesign for SMEs in DCs. The proposed methodology consists of four main iterative phases and their supporting activities and relies on the concept of alignment to produce effective business processes. The methodology is justified on the basis of business process redesign literature and appropriate theoretical frameworks. Its value lies in its agile and context sensitive nature as required by SMEs in DCs. It is novel in that, to our knowledge, it is the first time the work system method is being exploited for BP redesign though that possibility has been previously noted.;"[Laar, David Sanka; Seymour, Lisa] Univ Cape Town, Dept Informat Syst, Rondebosch, South Africa";Laar, DS (corresponding author), Univ Cape Town, Dept Informat Syst, Rondebosch, South Africa.;"LRXDAV013@myuct.ac.za; Lisa.Seymour@uct.ac.za";;Laar, David/0000-0002-5747-1829;56;1;1;0;3;2049-6818;2049-6826;978-1-911218-27-2;;2017;;;512;519;;;;8;Management;WOS:000404892000063;View Full Record in Web of Science
C;"Shin, CK; Kang, BS; Park, SC; Park, SJ";"Shin, CK; Kang, BS; Park, SC; Park, SJ";OOBIS: An object oriented approach to business process redesign and IS requirement analysis;PIONEERING NEW TECHNOLOGIES: MANAGEMENT ISSUES AND CHALLENGES IN THE THIRD MILLENNIUM, PROCEEDINGS;English;Proceedings Paper;;;;Korea Adv Inst Sci & Technol, Dept Ind Engn, Yusong Gu, Taejon 305701, South Korea;Shin, CK (corresponding author), Korea Adv Inst Sci & Technol, Dept Ind Engn, Yusong Gu, Taejon 305701, South Korea.;;;Park, Sangchan/0000-0003-4488-3258;0;0;0;0;0;;;0-7803-5083-9;;1998;;;77;81;;;;5;Engineering, Electrical & Electronic;WOS:000076614200013;View Full Record in Web of Science
C;"Araki, A; Iijima, J";"Araki, Akiyoshi; Iijima, Junichi";A Pension System Redesign Case - Limitations and Improvements on DEMO;ADVANCES IN ENTERPRISE ENGINEERING VIII;English;Proceedings Paper;"DEMO; Business Process Redesign; National Identification Number; Pension System";;There are many methodologies and methods proposed for modeling Business Processes. Each of them has advantages and disadvantages. In this research we focus on Business Process Redesign in order to reveal limitations on the current syntax of DEMO and also its way of working. DEMO has been proven and recognized as an effective modeling method for business process at design level. However, the effectiveness of DEMO in the case of redesign of business process is not sufficiently documented. In this study, we applied DEMO to model the Industry Pension System utilizing the National Identification Number in Japan in order to investigate the effectiveness of applying DEMO in redesigning. We discuss the effectiveness and limitations of DEMO in redesign based on the Construction and Process Models. Consequently, we propose additional constructs to be added to DEMO's syntax, as well as some guidelines for DEMO's way of working in redesign situations. A new notation system for the improvement of DEMO is also discussed in our research.;"[Araki, Akiyoshi; Iijima, Junichi] Tokyo Inst Technol, Meguro Ku, Tokyo, Japan";Araki, A (corresponding author), Tokyo Inst Technol, Meguro Ku, 2-12-1 Ookayama, Tokyo, Japan.;"araki.a.aa@m.titech.ac.jp; iijima.j.aa@m.titech.ac.jp";;;7;0;0;0;3;1865-1348;;"978-3-319-06505-2; 978-3-319-06504-5";;2014;174;;31;45;;;;15;"Computer Science, Information Systems; Computer Science, Interdisciplinary Applications";WOS:000352696800003;View Full Record in Web of Science
